channel,time_ns
4,1049194550
4,1060798590
3,1212364890
1,2808292410
2,3155289970
2,3402915030
2,3689989340
2,3973703990
2,4403102620
2,4504375150
4,4555720370
1,4561276480
1,4876864650
2,5616651460
3,6338560210
4,6401734210
2,6586715780
3,6851389870
2,6888650000
1,6892228470
4,7973660120
4,8201503950
4,8747772180
2,9047169710
2,9452611890
2,9978360860
3,10353043250
4,11101483630
2,11871777570
2,11877031520
1,12428209650
2,12467188060
3,12765763470
4,12791715760
1,13183040360
2,14129800330
2,15702641910
1,16051441980
2,16331230390
2,16392839920
2,16675926500
2,16992342170
1,17087493300
4,18112769070
2,19144561260
2,19717358350
2,19717880760
2,19942804980
2,19942910240
3,20704653950
2,21100635530
4,21607817700
4,21896269710
2,21998987730
2,22081490050
4,22259499410
1,22624900640
3,23161937840
2,23897975760
2,24034006920
2,24225758230
2,24225839900
1,24685249480
3,25620668960
2,25991136520
2,26065792870
3,26409990790
2,26456961760
2,27051742360
3,27571477740
4,28389763500
3,28606717350
2,28963517820
2,29375683740
2,29376174670
2,29807945130
2,29842225030
2,29939940070
2,31969601530
2,33648275230
2,35360858600
4,36069315230
4,36173439590
2,36818181420
1,36973871740
2,37421609200
1,37660773320
4,37778767510
2,38121426560
2,38717060430
2,39459376970
2,40299963320
2,40455523710
2,41511434940
2,41894006270
1,41935757330
2,42172852650
1,42173286820
2,42569111350
2,42588913660
2,42703522210
2,43853914270
3,43858620040
2,44083110710
2,44579887670
2,44579957570
2,45639099180
2,46283806950
4,47001172530
2,47516859770
2,47711130640
2,47739661270
4,48262934030
1,48558279780
4,49566791550
2,49951488000
2,50342429140
2,51198763800
1,51368102270
3,52047008510
2,52531957780
4,52584197360
4,52841387310
3,53542731550
2,53564210420
2,53735366600
2,54090808120
1,54712384680
2,55171205230
2,55431729770
2,55721790180
2,55965589910
2,56243836280
2,56493681760
2,56632706760
2,56828485630
2,56940303850
1,57549745170
4,57901314600
4,58431225940
2,58646601500
2,58692648210
3,59473687030
2,60040531880
2,60263967290
2,61878689770
