channel,time_ns
2,393443600
2,1133859100
4,1693073900
4,3461524800
2,5076384300
3,7314133300
3,7919012100
2,8630634100
3,9028725100
3,11004570800
4,11820465400
4,13087099600
4,16925742400
2,18469273200
4,20705786300
4,21180835200
4,22155701000
4,24808447800
3,27805280000
1,28867677800
4,29040337300
4,30142219800
2,30410651700
1,34436649700
4,36820260100
1,37108120500
4,38524124500
1,38685604200
4,38685797600
1,39530212100
1,39631095200
4,39766422100
4,42435958800
4,42786310900
2,44147154700
3,44353479700
3,46651017800
3,47795365800
2,48474265800
1,49553184700
1,49553186500
3,50943871700
1,50990569200
3,52343325100
3,54816417900
4,54949273100
2,57447318000
2,57602660100
3,57804724700
3,58261718700
3,61933432400
4,65336330300
4,65336459100
1,68254407500
3,70175134700
1,70626172700
2,70707550600
4,71025278200
1,71116965500
1,73606281300
3,74732727600
2,74931378500
4,75062906700
1,75322339800
3,76056905800
1,77007561400
1,77478656400
1,78186000000
4,79256679700
4,80812813400
4,81942079100
4,82809658300
2,83434654300
4,84792959400
4,84946838300
3,85056366500
2,85289978400
3,90480153500
1,90553807500
3,91523883600
1,95054857200
4,97056660100
1,98579310800
2,100873558300
4,100964214400
4,101369827600
1,105609276200
1,106247874200
4,106285089000
2,107280080400
4,110628489900
2,113704196700
1,113889880900
3,114211895800
2,115009850500
4,120269378500
2,120514880600
2,121666476300
1,125142043200
4,127337409500
2,130941239500
3,132955299500
3,133708326000
3,133717043200
2,135319242800
3,136278222900
2,138982092700
1,140608553200
3,141436831500
1,142848608500
2,142848862800
1,142848869800
2,142988284200
1,145372750300
4,146178233300
2,146400501600
4,147751992600
3,148583346800
1,149564491300
1,150979305100
4,151583528900
4,158587109000
3,159034936000
2,159384292600
2,162950919400
1,163302484100
2,165064917600
1,165251223000
4,168156071900
4,168423122000
4,172976324000
4,173859440800
1,175012654900
3,177282770000
3,177283073200
3,178323893500
1,182958380200
2,184955814000
3,191562415100
3,193119389300
2,195070045200
1,195274997400
4,195664492000
3,196091211500
2,200172551600
2,200203778300
3,201307005600
3,202191988600
4,203997404800
1,204530041700
1,204568804600
4,205603428400
3,206815818300
4,207732051100
2,211520868000
2,212742449700
2,213997464600
2,214255264600
1,214908954500
4,215552077400
4,216847394000
4,218211027400
3,220677692500
4,220740473600
4,227466950800
2,230205328200
3,232090495000
3,233224133900
3,233865174700
4,234466822500
3,234845347000
2,241282903800
2,245636639600
2,246962325800
3,247435505000
2,251947496800
2,253078085600
3,255255231500
3,255754026400
2,256853967700
2,258768701900
2,258994822100
1,260684385200
1,262477149100
2,264432407900
1,266821594300
2,267436344800
1,270271006800
1,270331056700
3,270520155500
4,271705356100
4,271918538200
1,272425770300
4,275546832900
1,277244087100
2,280182482900
1,281074848700
2,281138711100
1,283227311100
1,287008111300
4,287314338900
3,287582159900
3,289030991800
1,290009332800
1,291301607500
1,292448232300
4,293421671200
4,293676912600
2,296778418600
4,296863972300
1,298089470500
3,299889633400
2,303753300500
1,304208464200
3,306699065900
4,307108633900
1,308576075700
1,311738692400
3,312875379300
2,313234133200
3,315414095600
3,316532186500
4,317627290100
1,319135423900
1,319841867300
3,320634269300
2,322195521800
2,326299886800
3,328485467500
2,329602532300
3,331309902700
3,331389483700
1,332199846900
3,332967993900
1,334042365900
1,334242840400
1,334473928100
2,334595973100
3,335247258000
2,335992560700
3,337430147800
4,337654890200
4,338185461100
3,338969312200
3,339238030800
4,340473305400
2,342169194300
3,344666671500
2,346062805800
1,346137301900
3,347291749300
4,347313156700
4,347540173200
4,348248801700
3,353047449400
1,361089487400
1,361089497500
4,363600990000
4,363843870800
4,363884777500
4,366516073400
2,366903274500
2,367441649200
2,368835895600
3,369365998000
1,374151863500
4,376749116700
1,377843877300
4,379929594500
3,380435657200
1,381775742900
