channel,time_ns
2,658091000
4,672618300
2,771026700
4,1262422100
4,1305264100
4,2124104000
2,2135205300
2,2163878400
4,2198254300
4,2198334300
4,2678044600
2,2759959300
4,2846977300
3,3180804100
1,3180962500
3,3371562400
4,3387405300
4,3387588700
4,3497824900
2,3646635100
4,3667141100
3,4024076900
4,4354975900
2,4664691400
4,4671985200
4,5105906200
2,5129554200
3,5129563000
3,5129613600
2,5174172200
4,5681262600
4,5681645900
1,7099619900
3,8140747000
1,8181155500
1,8191991000
3,8259887600
2,8397716700
4,8847674300
3,9164906300
2,9214045600
3,9441989500
2,9505522600
1,10011524800
4,10298479400
2,10513148800
2,10514923000
3,10796847500
4,11287846900
3,11287918900
2,11437919400
2,11607567300
4,11816111300
4,11836890000
4,11862705300
1,12872152100
2,12877646900
4,13138081600
4,13138239100
2,13302590300
1,13442275700
3,13673728700
4,14115792300
2,14214314700
4,14459534100
4,14563974700
3,14663022400
3,15117135900
1,15204137600
1,15283216600
2,15304754500
4,15466009000
4,15523746200
4,15617548300
1,15662005400
4,15735356500
1,16427365900
4,16859346000
1,17217300200
4,17781092500
4,17781688800
4,17927967800
2,18351207300
2,18394115600
4,18766403000
2,18909824400
1,19388362400
1,19635886700
1,19636418700
2,19698796500
4,20393285800
2,20749200700
4,20820709300
3,20821019000
2,20976892200
4,21259972100
3,21419673200
4,21419976200
2,21593586900
3,21594224300
2,21616112000
2,22228463400
2,22464413200
2,22573508700
3,23024964400
4,23047653600
3,23534828100
4,23535721000
1,23778295100
1,23900290100
3,24831636700
2,25190675700
2,25385059100
4,25385093600
2,25394145300
2,25439277100
2,25558510900
4,25848295500
2,26247804900
4,26247897300
2,26248174700
2,27080437100
3,27259984600
2,27354905800
1,27670134000
4,27670784300
2,27808946800
3,27918294600
4,28660237800
3,28798207200
2,28798295800
1,28890251300
4,29065724300
1,29098839700
4,29810295800
2,29844362600
2,30001396700
4,30195520000
4,30708364700
4,30768077900
2,30966042200
2,31046199900
4,31463713500
3,31867267900
2,32315927800
2,32531444300
3,32759752700
4,33062625500
2,33470819200
4,34739340100
2,35270238300
2,35300722500
2,35436897600
2,35670688900
4,35825620800
4,35828702800
4,35832536000
4,35865170700
1,35869157800
2,35954711900
2,36183921500
2,36677768800
3,36744994400
4,36789698800
4,36789706900
2,36790585500
1,36816316800
1,36816631000
2,36896744500
3,37036294700
4,37297284600
4,37333602400
4,37450440600
1,37639635300
4,37864423800
4,38372874000
1,38393633400
1,38453303400
4,38644489000
4,39642524400
2,39752073500
1,39810157200
2,40029594600
2,40603546600
1,40924869100
4,40970867500
2,41018036400
4,41244654500
2,41582212000
2,41593873600
4,41703965400
2,42178128700
2,42661121800
1,42881109300
1,42881112300
4,42881185000
2,43741563600
1,44371030400
3,44713353100
4,44876796400
2,44901389000
3,45626700500
4,45856572800
2,46108000900
4,46229982800
4,46430921100
1,46676141100
4,47008657400
1,47061339500
4,47250495400
2,47634464400
3,47823544200
2,47824940100
3,48742659600
1,49059553100
4,49121977900
1,49562319000
2,49978714300
3,50158105400
4,51061477600
1,51132058100
1,51255138700
4,51622310200
2,51846428100
1,52021466200
2,52069671500
3,52729433300
4,53046348300
4,53398200000
1,53571258100
3,54789366900
4,55179663700
2,55801210000
3,55859776000
4,56086052400
2,56097178700
4,56243804500
2,56653314400
4,57290933300
4,57598664800
4,57619462000
2,58076154700
4,58076354500
1,58076424200
1,58848594500
4,59261443000
3,59277966200
1,59767233000
4,59854693400
4,60090658100
4,60104930600
2,60241304500
1,60592470600
4,60702219400
4,60702517800
2,61080039800
2,61414675200
2,61602340900
2,61694132400
1,61711680900
2,61767773700
1,62194617400
2,62662260600
1,62700842200
3,63751987400
3,64003340000
2,64479206000
2,64506455300
4,64533478600
4,64951753200
4,65253203600
2,65606234800
2,65690514800
2,65818412700
1,66476770400
4,66708184700
3,66776800100
1,66776857900
2,67003369000
4,67238081100
4,68093712600
4,68348175700
1,68475214200
2,68678684400
4,68762237300
2,68801769000
2,68801850600
4,68912074800
3,68986159500
4,69042785300
4,69245473000
4,69528642300
1,69713467600
3,69720076400
2,69808297700
4,70179633700
1,70489811900
2,70693072600
2,70822723800
4,70884769400
2,71077547900
4,71520787700
4,71520970100
4,71658281100
4,71767296600
2,71865018100
3,72101134300
2,72280392600
3,72532247100
2,73051698900
3,73235068900
3,73235241100
3,73236082600
1,73236859500
2,73452194500
4,73494808100
1,73495083500
2,73495222200
4,73672261600
2,73887612600
2,74376154000
3,74376221600
4,74763436600
2,74763660500
2,75367884800
2,75534937900
2,75590185600
2,75891887600
3,76606188200
4,76664335900
4,76733397400
1,77071951300
4,77153568900
4,77181188900
2,77336084300
3,78030926900
3,78111061500
2,78479231500
2,78479263700
1,78492191100
2,78699259600
4,78755347800
2,78994157400
4,79150613000
4,79223169300
4,79302080000
1,79302382900
4,79313480700
2,79372893200
2,79675679800
2,79675772200
2,80095302900
2,80096103400
2,80384910200
3,80687652200
1,80769454200
4,81112145900
4,81571634200
4,81611291700
4,81893720900
4,81927467200
2,82021776200
4,82374571800
1,82614281900
4,83303629500
4,83554437600
3,83558641000
4,83638899200
4,83747986000
4,83768528600
1,84362632700
3,84754573500
2,85419978800
4,85768457200
4,85991763400
4,86375427300
4,86375821700
2,86441719100
2,87046749900
3,87180739900
1,87252661300
2,87522981300
4,88095505900
3,88789826700
2,89252885100
1,89689587400
1,89751430000
4,89794482700
1,89828810200
2,90049425400
1,90124746900
4,90231772500
2,90633419800
4,90721687200
2,90743044200
3,91300192000
4,91325141900
4,91325412100
2,91968483700
2,91968911200
2,92101536200
4,92121340100
2,92270662200
3,92678465000
1,93020396300
3,93618957400
4,93707150900
4,93902428300
2,93946595500
2,94167303000
4,94167511600
2,94446068200
1,94515839200
2,95149475900
2,95273178800
3,95273180800
4,95315940200
4,95388030500
4,95388034200
2,96168787000
4,96219688100
2,96238815800
4,96258863200
4,96259242800
3,96412169900
4,96412430900
2,96440529600
4,96476075500
4,96483365600
1,96540305800
1,97092218200
2,97724953500
3,97831250400
4,97835030200
4,98123860800
2,98245608100
4,98561706400
4,98624647800
1,98735281100
1,98735469600
2,99024181700
2,99055187200
4,99295493400
4,99923635800
4,100074808800
1,100342662400
3,101329659300
1,101753808800
2,101805228300
2,101853724100
2,102020766400
4,102020886100
2,102125914000
4,102125941600
3,102530368100
4,102843586000
1,103055492800
2,103443802200
4,103669646300
4,104587344100
3,104951573300
3,105078889700
4,106442335500
3,107226425900
2,107724131700
4,107907248300
2,107951143200
2,108334160400
4,109036660900
2,109636305900
1,110701577800
1,111386501500
1,111577921800
4,111622427500
2,111827980400
2,111828866900
2,111853191000
2,112196312600
2,112196452900
4,112270734700
4,112554756300
2,112554796400
1,112624084000
4,113029902300
2,113071175700
4,113614217800
4,113622745600
2,113758662300
2,113807436500
2,113990637500
2,114821692100
4,115057509700
4,115383959300
3,115965633500
2,116185177700
4,116247404500
2,116749560600
3,116774365100
2,117822698900
2,117984015300
4,118312570600
4,119066676400
1,119536120500
4,119772998600
4,119773003000
4,119773058100
2,119939521400
4,120110589700
3,120133130100
4,120387829000
2,120668148400
2,120818165600
4,120981980100
3,121083423900
4,121894844300
2,121988023400
4,122248415000
1,122248797600
3,122384653700
2,123328561600
4,123411774500
3,123733383900
2,123747708500
1,123748178400
1,124102101500
2,124109697200
4,124430772300
2,124648065000
2,125628446300
4,125740646600
2,125943906500
4,126167585300
2,126781600500
4,126791386200
2,127103840500
2,127301127300
4,127505041800
1,127520146400
3,127605571500
3,127625869100
4,128206621300
4,128324659500
1,128338992700
2,128827051400
3,128846603200
4,128890912400
4,128908692900
4,129140156000
1,129783995100
1,129921193600
2,130103044100
2,130309646900
3,130528863900
2,130593637300
1,130719776000
4,130971195100
2,131074302400
4,131457940600
2,131458624800
2,131561796100
2,131698450200
4,132411814100
